# time*2*pi	ke	dkedt	ke smag	dkedt smag
0	0.125		0.0	0.125  0
0.02	0.124990628	0.000468605	0.124990301	0.00048495
0.04	0.124981257	0.000468555	0.124980603	0.0004849
0.06	0.124971888	0.000468425	0.124970908	0.00048475
0.08	0.124962521	0.000468385	0.124961214	0.000484705
0.1	0.124953153	0.000468385	0.124951519	0.000484725
0.12	0.124943784	0.00046843	0.124941824	0.000484775
0.14	0.124934414	0.00046851	0.124932127	0.00048486
0.16	0.124925042	0.00046863	0.124922427	0.000485
0.18	0.124915666	0.000468795	0.124912723	0.00048517
0.2	0.124906286	0.000468995	0.124903016	0.000485385
0.22	0.124896901	0.000469245	0.124893303	0.00048565
0.24	0.12488751	0.000469525	0.124883584	0.00048595
0.26	0.124878113	0.00046986	0.124873858	0.000486305
0.28	0.124868708	0.000470235	0.124864123	0.000486705
0.3	0.124859295	0.00047065	0.124854381	0.00048714
0.32	0.124849873	0.000471105	0.124844628	0.000487625
0.34	0.124840441	0.00047161	0.124834865	0.000488155
0.36	0.124830998	0.00047215	0.12482509	0.000488735
0.38	0.124821543	0.000472745	0.124815303	0.000489355
0.4	0.124812076	0.00047338	0.124805503	0.00049003
0.42	0.124802594	0.00047406	0.124795688	0.000490745
0.44	0.124793099	0.000474785	0.124785857	0.000491515
0.46	0.124783588	0.000475555	0.124776011	0.000492325
0.48	0.12477406	0.00047637	0.124766147	0.00049319
0.5	0.124764516	0.000477235	0.124756265	0.000494095
0.52	0.124754953	0.000478145	0.124746364	0.000495065
0.54	0.124745371	0.0004791	0.124736443	0.00049607
0.56	0.124735769	0.0004801	0.1247265	0.00049713
0.58	0.124726145	0.00048116	0.124716535	0.000498245
0.6	0.1247165	0.000482255	0.124706547	0.000499405
0.62	0.124706832	0.000483405	0.124696535	0.00050062
0.64	0.12469714	0.0004846	0.124686497	0.000501885
0.66	0.124687423	0.000485845	0.124676433	0.0005032
0.68	0.12467768	0.000487145	0.124666341	0.000504575
0.7	0.124667911	0.00048849	0.124656221	0.000505995
0.72	0.124658113	0.000489885	0.124646072	0.00050747
0.74	0.124648286	0.000491335	0.124635892	0.000509005
0.76	0.12463843	0.00049283	0.12462568	0.000510585
0.78	0.124628542	0.00049438	0.124615436	0.00051223
0.8	0.124618622	0.000495985	0.124605157	0.000513925
0.82	0.12460867	0.000497635	0.124594844	0.000515675
0.84	0.124598683	0.00049934	0.124584494	0.00051748
0.86	0.124588661	0.000501105	0.124574107	0.00051934
0.88	0.124578603	0.00050291	0.124563682	0.000521265
0.9	0.124568507	0.00050478	0.124553217	0.000523245
0.92	0.124558373	0.0005067	0.124542712	0.000525275
0.94	0.124548199	0.00050868	0.124532164	0.00052737
0.96	0.124537985	0.000510705	0.124521574	0.00052952
0.98	0.124527729	0.00051279	0.124510939	0.000531735
1	0.124517431	0.00051493	0.124500259	0.000534005
1.02	0.124507088	0.00051713	0.124489532	0.000536335
1.04	0.124496701	0.00051938	0.124478758	0.00053873
1.06	0.124486267	0.000521695	0.124467934	0.000541175
1.08	0.124475786	0.00052406	0.12445706	0.000543695
1.1	0.124465256	0.00052649	0.124446135	0.00054627
1.12	0.124454676	0.00052897	0.124435157	0.000548905
1.14	0.124444046	0.000531515	0.124424125	0.00055161
1.16	0.124433364	0.000534115	0.124413037	0.00055437
1.18	0.124422628	0.00053678	0.124401893	0.0005572
1.2	0.124411838	0.0005395	0.124390691	0.00056009
1.22	0.124400993	0.00054228	0.12437943	0.00056305
1.24	0.12439009	0.000545125	0.124368109	0.00056607
1.26	0.124379129	0.00054803	0.124356726	0.000569155
1.28	0.12436811	0.000550995	0.12434528	0.000572315
1.3	0.124357029	0.00055402	0.124333769	0.00057553
1.32	0.124345887	0.000557115	0.124322192	0.000578825
1.34	0.124334681	0.00056027	0.124310549	0.000582175
1.36	0.124323412	0.00056349	0.124298837	0.000585605
1.38	0.124312076	0.00056677	0.124287055	0.000589095
1.4	0.124300674	0.00057012	0.124275202	0.000592655
1.42	0.124289203	0.00057353	0.124263276	0.000596295
1.44	0.124277663	0.000577015	0.124251276	0.000599995
1.46	0.124266052	0.000580555	0.124239201	0.00060377
1.48	0.124254368	0.000584175	0.124227048	0.00060762
1.5	0.124242611	0.00058785	0.124214817	0.00061154
1.52	0.124230779	0.0005916	0.124202507	0.00061553
1.54	0.124218871	0.000595415	0.124190115	0.000619595
1.56	0.124206885	0.0005993	0.12417764	0.000623735
1.58	0.12419482	0.000603255	0.124165081	0.000627955
1.6	0.124182674	0.000607285	0.124152436	0.00063224
1.62	0.124170447	0.00061138	0.124139704	0.000636605
1.64	0.124158136	0.000615545	0.124126883	0.000641055
1.66	0.12414574	0.00061979	0.124113972	0.00064557
1.68	0.124133258	0.0006241	0.124100968	0.00065017
1.7	0.124120688	0.00062849	0.124087871	0.00065485
1.72	0.124108029	0.000632945	0.124074679	0.000659605
1.74	0.12409528	0.000637485	0.12406139	0.000664445
1.76	0.124082438	0.000642095	0.124048003	0.000669365
1.78	0.124069502	0.00064678	0.124034516	0.000674365
1.8	0.124056471	0.00065154	0.124020927	0.000679445
1.82	0.124043344	0.00065638	0.124007235	0.00068461
1.84	0.124030118	0.000661295	0.123993437	0.00068986
1.86	0.124016792	0.000666295	0.123979534	0.000695195
1.88	0.124003365	0.00067136	0.123965521	0.000700615
1.9	0.123989834	0.00067652	0.123951399	0.000706115
1.92	0.123976199	0.000681745	0.123937165	0.00071171
1.94	0.123962458	0.000687065	0.123922817	0.000717385
1.96	0.123948609	0.000692455	0.123908354	0.00072316
1.98	0.12393465	0.000697935	0.123893774	0.00072901
2	0.12392058	0.000703495	0.123879075	0.000734955
2.02	0.123906398	0.000709135	0.123864255	0.000740995
2.04	0.123892101	0.000714855	0.123849312	0.00074712
2.06	0.123877687	0.00072067	0.123834245	0.00075334
2.08	0.123863156	0.00072656	0.123819052	0.000759655
2.1	0.123848505	0.000732535	0.123803731	0.00076605
2.12	0.123833733	0.000738605	0.12378828	0.00077256
2.14	0.123818838	0.000744755	0.123772697	0.000779155
2.16	0.123803818	0.000750995	0.12375698	0.000785845
2.18	0.123788672	0.00075732	0.123741128	0.00079263
2.2	0.123773397	0.000763735	0.123725137	0.000799515
2.22	0.123757992	0.000770235	0.123709007	0.0008065
2.24	0.123742456	0.000776825	0.123692736	0.00081358
2.26	0.123726786	0.000783505	0.12367632	0.000820765
2.28	0.12371098	0.000790275	0.123659759	0.000828045
2.3	0.123695038	0.000797135	0.123643051	0.000835425
2.32	0.123678956	0.000804085	0.123626193	0.000842915
2.34	0.123662733	0.00081113	0.123609183	0.000850505
2.36	0.123646368	0.000818265	0.123592019	0.000858195
2.38	0.123629858	0.000825495	0.123574699	0.00086599
2.4	0.123613202	0.000832815	0.123557221	0.000873895
2.42	0.123596397	0.000840235	0.123539583	0.00088191
2.44	0.123579442	0.000847735	0.123521782	0.00089002
2.46	0.123562336	0.00085534	0.123503818	0.00089824
2.48	0.123545075	0.000863035	0.123485686	0.000906575
2.5	0.123527658	0.00087083	0.123467386	0.000915025
2.52	0.123510084	0.00087872	0.123448914	0.00092357
2.54	0.12349235	0.0008867	0.123430269	0.00093224
2.56	0.123474454	0.000894775	0.123411449	0.000941005
2.58	0.123456395	0.000902945	0.123392451	0.00094989
2.6	0.123438171	0.00091123	0.123373273	0.000958905
2.62	0.123419779	0.000919615	0.123353913	0.000968035
2.64	0.123401216	0.00092812	0.123334367	0.0009773
2.66	0.123382482	0.00093669	0.123314633	0.00098666
2.68	0.123363575	0.00094537	0.123294711	0.00099614
2.7	0.123344492	0.000954165	0.123274596	0.00100575
2.72	0.12332523	0.000963065	0.123254286	0.001015495
2.74	0.123305789	0.000972065	0.123233779	0.001025355
2.76	0.123286166	0.00098117	0.123213072	0.00103534
2.78	0.123266358	0.000990405	0.123192162	0.001045485
2.8	0.123246362	0.00099976	0.123171047	0.001055755
2.82	0.123226178	0.001009225	0.123149724	0.001066175
2.84	0.123205802	0.001018795	0.123128189	0.001076725
2.86	0.123185232	0.001028515	0.12310644	0.00108743
2.88	0.123164464	0.001038365	0.123084474	0.00109831
2.9	0.123143499	0.00104827	0.123062289	0.001109265
2.92	0.123122331	0.00105838	0.12303988	0.00112044
2.94	0.123100959	0.001068615	0.123017244	0.00113179
2.96	0.123079379	0.001078985	0.122994378	0.001143295
2.98	0.123057589	0.001089495	0.122971279	0.001154965
3	0.123035586	0.00110018	0.122947942	0.001166835
3.02	0.123013365	0.001111035	0.122924364	0.00117891
3.04	0.122990926	0.001121955	0.122900542	0.00119111
3.06	0.122968264	0.001133115	0.122876471	0.00120355
3.08	0.122945375	0.00114446	0.122852147	0.00121622
3.1	0.122922255	0.00115597	0.122827565	0.00122908
3.12	0.122898902	0.00116767	0.122802722	0.00124217
3.14	0.122875309	0.001179615	0.122777611	0.001255555
3.16	0.122851473	0.0011918	0.122752226	0.00126921
3.18	0.122827391	0.001204105	0.122726565	0.00128305
3.2	0.12280306	0.00121659	0.122700624	0.00129709
3.22	0.122778473	0.001229335	0.122674395	0.00131143
3.24	0.122753625	0.001242405	0.122647873	0.00132612
3.26	0.12272851	0.001255745	0.122621049	0.001341165
3.28	0.12270312	0.001269475	0.122593917	0.00135661
3.3	0.122677453	0.00128338	0.12256647	0.001372335
3.32	0.122651504	0.001297435	0.122538706	0.00138823
3.34	0.122625267	0.00131183	0.122510615	0.00140455
3.36	0.122598733	0.00132674	0.122482187	0.001421405
3.38	0.122571894	0.00134194	0.122453413	0.00143867
3.4	0.122544746	0.0013574	0.122424289	0.00145623
3.42	0.122517283	0.00137316	0.122394804	0.001474245
3.44	0.122489497	0.001389295	0.122364951	0.001492615
3.46	0.122461381	0.001405775	0.12233472	0.00151158
3.48	0.122432925	0.001422795	0.122304098	0.0015311
3.5	0.122404115	0.001440535	0.122273068	0.0015515
3.52	0.122374947	0.00145837	0.122241626	0.001572095
3.54	0.122345414	0.001476675	0.122209761	0.00159326
3.56	0.122315496	0.0014959	0.122177462	0.00161496
3.58	0.122285184	0.001515575	0.122144705	0.00163782
3.6	0.122254463	0.001536065	0.122111481	0.00166119
3.62	0.122223317	0.001557305	0.122077774	0.00168537
3.64	0.122191733	0.0015792	0.122043569	0.00171024
3.66	0.122159699	0.00160167	0.122008853	0.00173579
3.68	0.1221272	0.001624955	0.121973612	0.00176208
3.7	0.122094217	0.00164916	0.121937826	0.00178931
